取引id,顧客id,商品id,個数,合計金額,取引日時
T0077,C001,P006,1,380,2025-04-01 18:31:00
T0091,C002,P013,1,5600,2025-04-03 13:44:00
T0091,C002,P019,1,2600,2025-04-03 13:44:00
T0089,C004,P001,1,780,2025-04-05 11:00:00
T0089,C004,P017,1,890,2025-04-05 11:00:00
T0089,C004,P008,2,1080,2025-04-05 11:00:00
T0037,C003,P013,1,5600,2025-04-06 15:05:00
T0037,C003,P004,2,2400,2025-04-06 15:05:00
T0058,C010,P003,5,2250,2025-04-09 10:58:00
T0058,C010,P016,1,1900,2025-04-09 10:58:00
T0002,C002,P011,3,26700,2025-04-12 10:23:00
T0002,C002,P010,1,480,2025-04-12 10:23:00
T0002,C002,P020,1,6800,2025-04-12 10:23:00
T0004,C002,P018,1,4900,2025-04-13 16:23:00
T0085,C001,P006,1,380,2025-04-17 10:12:00
T0085,C001,P003,1,450,2025-04-17 10:12:00
T0043,C004,P011,1,8900,2025-04-17 15:23:00
T0043,C004,P003,2,900,2025-04-17 15:23:00
T0043,C004,P004,1,1200,2025-04-17 15:23:00
T0043,C004,P007,1,690,2025-04-17 15:23:00
T0062,C002,P015,1,4200,2025-04-25 10:44:00
T0062,C002,P016,1,1900,2025-04-25 10:44:00
T0001,C003,P003,1,450,2025-05-06 15:23:00
T0001,C003,P012,1,2400,2025-05-06 15:23:00
T0001,C003,P002,3,1860,2025-05-06 15:23:00
T0094,C001,P005,1,1580,2025-05-10 15:31:00
T0094,C001,P007,5,3450,2025-05-10 15:31:00
T0081,C008,P016,2,3800,2025-05-12 20:58:00
T0081,C008,P002,1,620,2025-05-12 20:58:00
T0046,C001,P010,2,960,2025-05-16 18:44:00
T0046,C001,P016,2,3800,2025-05-16 18:44:00
T0046,C001,P018,1,4900,2025-05-16 18:44:00
T0096,C010,P012,1,2400,2025-05-16 18:44:00
T0096,C010,P014,1,3800,2025-05-16 18:44:00
T0096,C010,P020,2,13600,2025-05-16 18:44:00
T0082,C004,P020,1,6800,2025-05-17 17:12:00
